 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1 |       mode 2
      0 |    1834 |     7199 |       0.6 |       0.6 |            - |            - |            -
      1 |    3619 |    13182 |       8.6 |       9.2 |            - |            - |            -
      2 |    7175 |    25886 |      10.5 |      19.7 |            - |            - |            -
      3 |   12632 |    46443 |       9.7 |      29.4 |            - |            - |            -
      4 |   18455 |    70201 |      13.6 |      43.0 |            - |            - |            -
      5 |   24998 |    98788 |      17.2 |      60.2 | +7.29070e+08 | +3.14914e+09 | +2.21538e+09
      6 |   33417 |   135260 |      22.5 |      82.7 | +4.52978e+08 | +1.48045e+09 | +1.64378e+09
      7 |   42612 |   175924 |      29.4 |     112.1 | +4.43430e+08 | +9.94299e+08 | +1.01844e+09
      8 |   52203 |   220595 |      37.6 |     149.7 | +3.24766e+08 | +6.59933e+08 | +1.09505e+09
      9 |   62833 |   271472 |      46.0 |     195.7 | +3.39887e+08 | +3.66075e+08 | +7.50523e+08
     10 |   76634 |   338274 |      57.3 |     253.0 | +2.54955e+08 | +3.58757e+08 | +6.57144e+08

Solution completed. Time to solve: 302.1 s
