 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1 |       mode 2
      0 |    1834 |     7199 |       0.6 |       0.6 |            - |            - |            -
      1 |    3619 |    13182 |       8.6 |       9.2 |            - |            - |            -
      2 |    7175 |    25886 |      10.5 |      19.7 |            - |            - |            -
      3 |   12632 |    46443 |       9.7 |      29.4 |            - |            - |            -
      4 |   18455 |    70201 |      13.6 |      43.0 |            - |            - |            -
      5 |   24998 |    98788 |      17.2 |      60.2 | +1.32210e-01 | +2.31818e-01 | +1.31673e-01
      6 |   33417 |   135260 |      22.5 |      82.7 | +8.09020e-02 | +1.08026e-01 | +9.62444e-02
      7 |   42612 |   175924 |      29.4 |     112.1 | +7.83477e-02 | +7.20816e-02 | +5.91912e-02
      8 |   52203 |   220595 |      37.6 |     149.7 | +5.70468e-02 | +4.76705e-02 | +6.33611e-02
      9 |   62833 |   271472 |      46.0 |     195.7 | +5.93090e-02 | +2.63299e-02 | +4.31767e-02
     10 |   76634 |   338274 |      57.3 |     253.0 | +4.41906e-02 | +2.57298e-02 | +3.75898e-02

Solution completed. Time to solve: 302.1 s
