 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1 |       mode 2
      0 |    1834 |     7199 |       0.6 |       0.6 | +4.78542e+09 | +1.04354e+10 | +1.46095e+10
      1 |    3619 |    13182 |       8.6 |       9.2 | +5.14612e+09 | +1.22242e+10 | +1.54355e+10
      2 |    7175 |    25886 |      10.5 |      19.7 | +5.21634e+09 | +1.27998e+10 | +1.62787e+10
      3 |   12632 |    46443 |       9.7 |      29.4 | +5.36820e+09 | +1.31837e+10 | +1.61876e+10
      4 |   18455 |    70201 |      13.6 |      43.0 | +5.39090e+09 | +1.35373e+10 | +1.66321e+10
      5 |   24998 |    98788 |      17.2 |      60.2 | +5.51449e+09 | +1.35845e+10 | +1.68249e+10
      6 |   33417 |   135260 |      22.5 |      82.7 | +5.59910e+09 | +1.37046e+10 | +1.70793e+10
      7 |   42612 |   175924 |      29.4 |     112.1 | +5.65978e+09 | +1.37941e+10 | +1.72060e+10
      8 |   52203 |   220595 |      37.6 |     149.7 | +5.69297e+09 | +1.38436e+10 | +1.72826e+10
      9 |   62833 |   271472 |      46.0 |     195.7 | +5.73079e+09 | +1.39034e+10 | +1.73826e+10
     10 |   76634 |   338274 |      57.3 |     253.0 | +5.76945e+09 | +1.39433e+10 | +1.74820e+10

Solution completed. Time to solve: 302.1 s
