 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14140 |    67712 |       8.7 |       8.7 | +3.21040e+09 | +4.64906e+09
      1 |   14098 |    58512 |      15.1 |      23.7 | +4.27846e+09 | +5.10642e+09
      2 |   18526 |    72265 |      14.9 |      38.6 | +4.60454e+09 | +5.25053e+09
      3 |   24260 |    94792 |      18.5 |      57.2 | +4.73949e+09 | +5.37104e+09
      4 |   31373 |   125285 |      21.8 |      78.9 | +4.80900e+09 | +5.46240e+09
      5 |   40045 |   163544 |      27.1 |     106.1 | +4.85993e+09 | +5.51679e+09
      6 |   49566 |   207417 |      35.2 |     141.3 | +4.89443e+09 | +5.55300e+09
      7 |   59775 |   255291 |      41.4 |     182.7 | +4.92321e+09 | +5.56772e+09
      8 |   71607 |   312661 |      51.9 |     234.6 | +4.94876e+09 | +5.59186e+09

Solution completed. Time to solve: 269.9 s
