 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14005 |    67003 |       8.8 |       8.8 |            - |            -
      1 |   14028 |    58080 |      14.3 |      23.1 |            - |            -
      2 |   18509 |    71752 |      15.0 |      38.1 |            - |            -
      3 |   24177 |    94366 |      17.5 |      55.7 |            - |            -
      4 |   31282 |   124609 |      21.7 |      77.4 |            - |            -
      5 |   39926 |   163011 |      27.3 |     104.7 | +3.63659e-01 | +1.65864e-01
      6 |   49669 |   207477 |      34.2 |     138.9 | +1.29529e-01 | +7.79637e-02
      7 |   59544 |   254092 |      42.0 |     180.9 | +6.30473e-02 | +5.37356e-02
      8 |   70995 |   309551 |      49.7 |     230.6 | +4.32537e-02 | +4.39416e-02

Solution completed. Time to solve: 265.6 s
