 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       9.5 |       9.5 |            - |            -
      1 |   13970 |    57840 |      16.2 |      25.7 |            - |            -
      2 |   18527 |    72081 |      15.7 |      41.4 |            - |            -
      3 |   24308 |    94928 |      18.1 |      59.5 |            - |            -
      4 |   31437 |   125507 |      21.8 |      81.3 |            - |            -
      5 |   40263 |   164543 |      27.0 |     108.3 | +1.57959e+09 | +9.06672e+08
      6 |   49833 |   208220 |      34.7 |     143.0 | +6.11352e+08 | +3.35279e+08
      7 |   60206 |   257209 |      41.2 |     184.2 | +3.06928e+08 | +2.82415e+08
      8 |   72302 |   316006 |      49.0 |     233.3 | +2.16989e+08 | +1.98937e+08

Solution completed. Time to solve: 268.8 s
