 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       9.5 |       9.5 |            - |            -
      1 |   13970 |    57840 |      16.2 |      25.7 |            - |            -
      2 |   18527 |    72081 |      15.7 |      41.4 |            - |            -
      3 |   24308 |    94928 |      18.1 |      59.5 |            - |            -
      4 |   31437 |   125507 |      21.8 |      81.3 |            - |            -
      5 |   40263 |   164543 |      27.0 |     108.3 | +3.26095e-01 | +1.64154e-01
      6 |   49833 |   208220 |      34.7 |     143.0 | +1.25280e-01 | +6.03463e-02
      7 |   60206 |   257209 |      41.2 |     184.2 | +6.24666e-02 | +5.08307e-02
      8 |   72302 |   316006 |      49.0 |     233.3 | +4.39503e-02 | +3.55695e-02

Solution completed. Time to solve: 268.8 s
