 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       9.5 |       9.5 | +3.26437e+09 | +4.61665e+09
      1 |   13970 |    57840 |      16.2 |      25.7 | +4.26852e+09 | +5.22064e+09
      2 |   18527 |    72081 |      15.7 |      41.4 | +4.60655e+09 | +5.27358e+09
      3 |   24308 |    94928 |      18.1 |      59.5 | +4.72015e+09 | +5.39396e+09
      4 |   31437 |   125507 |      21.8 |      81.3 | +4.79629e+09 | +5.47562e+09
      5 |   40263 |   164543 |      27.0 |     108.3 | +4.84396e+09 | +5.52332e+09
      6 |   49833 |   208220 |      34.7 |     143.0 | +4.87987e+09 | +5.55592e+09
      7 |   60206 |   257209 |      41.2 |     184.2 | +4.91348e+09 | +5.55599e+09
      8 |   72302 |   316006 |      49.0 |     233.3 | +4.93714e+09 | +5.59290e+09

Solution completed. Time to solve: 268.8 s
