 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14046 |    67156 |     343.1 |     343.1 |            - |            -
      1 |   13964 |    57863 |      14.7 |     357.8 |            - |            -
      2 |   18461 |    71855 |      14.7 |     372.5 |            - |            -
      3 |   24053 |    93846 |      17.5 |     390.0 |            - |            -
      4 |   30957 |   123653 |      21.5 |     411.4 |            - |            -
      5 |   39482 |   161263 |      27.2 |     438.6 | +1.84877e+09 | +8.19373e+08
      6 |   49009 |   204545 |      35.5 |     474.2 | +6.41887e+08 | +3.73616e+08
      7 |   59314 |   252695 |      43.3 |     517.5 | +3.09468e+08 | +3.57353e+08
      8 |   71037 |   309925 |      48.9 |     566.4 | +2.08929e+08 | +2.14340e+08

Solution completed. Time to solve: 601.3 s
