 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13960 |    66733 |       8.9 |       8.9 |            - |            -
      1 |   13971 |    57820 |      14.4 |      23.3 |            - |            -
      2 |   18464 |    71897 |      14.9 |      38.3 |            - |            -
      3 |   24228 |    94582 |      17.7 |      56.0 |            - |            -
      4 |   31306 |   124920 |      21.8 |      77.8 |            - |            -
      5 |   40078 |   163850 |      27.3 |     105.1 | +1.65375e+09 | +7.66022e+08
      6 |   49781 |   207824 |      33.9 |     139.0 | +6.43493e+08 | +4.33936e+08
      7 |   59847 |   255522 |      41.2 |     180.2 | +3.01573e+08 | +3.15186e+08
      8 |   72003 |   314364 |      50.3 |     230.5 | +2.12661e+08 | +2.63755e+08

Solution completed. Time to solve: 265.7 s
