 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13960 |    66733 |       8.9 |       8.9 |            - |            -
      1 |   13971 |    57820 |      14.4 |      23.3 |            - |            -
      2 |   18464 |    71897 |      14.9 |      38.3 |            - |            -
      3 |   24228 |    94582 |      17.7 |      56.0 |            - |            -
      4 |   31306 |   124920 |      21.8 |      77.8 |            - |            -
      5 |   40078 |   163850 |      27.3 |     105.1 | +3.37200e-01 | +1.38673e-01
      6 |   49781 |   207824 |      33.9 |     139.0 | +1.30250e-01 | +7.81043e-02
      7 |   59847 |   255522 |      41.2 |     180.2 | +6.07283e-02 | +5.67322e-02
      8 |   72003 |   314364 |      50.3 |     230.5 | +4.25932e-02 | +4.71144e-02

Solution completed. Time to solve: 265.7 s
