 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13960 |    66733 |       8.9 |       8.9 | +3.25060e+09 | +4.75793e+09
      1 |   13971 |    57820 |      14.4 |      23.3 | +4.29695e+09 | +5.12192e+09
      2 |   18464 |    71897 |      14.9 |      38.3 | +4.66437e+09 | +5.24067e+09
      3 |   24228 |    94582 |      17.7 |      56.0 | +4.78018e+09 | +5.33442e+09
      4 |   31306 |   124920 |      21.8 |      77.8 | +4.84900e+09 | +5.45218e+09
      5 |   40078 |   163850 |      27.3 |     105.1 | +4.90435e+09 | +5.52395e+09
      6 |   49781 |   207824 |      33.9 |     139.0 | +4.94045e+09 | +5.55585e+09
      7 |   59847 |   255522 |      41.2 |     180.2 | +4.96594e+09 | +5.55569e+09
      8 |   72003 |   314364 |      50.3 |     230.5 | +4.99284e+09 | +5.59817e+09

Solution completed. Time to solve: 265.7 s
