 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       9.0 |       9.0 | +3.14448e+09 | +4.61652e+09
      1 |   13959 |    57799 |      14.7 |      23.7 | +4.08545e+09 | +5.13921e+09
      2 |   18491 |    71933 |      14.8 |      38.5 | +4.43878e+09 | +5.19638e+09
      3 |   24184 |    94517 |      17.5 |      55.9 | +4.55387e+09 | +5.36466e+09
      4 |   31097 |   124341 |      21.1 |      77.0 | +4.62436e+09 | +5.46915e+09
      5 |   39785 |   162440 |      25.7 |     102.7 | +4.67101e+09 | +5.53940e+09
      6 |   49503 |   206849 |      32.3 |     135.0 | +4.70627e+09 | +5.54440e+09
      7 |   59532 |   254175 |      39.4 |     174.5 | +4.73546e+09 | +5.57061e+09
      8 |   70994 |   309480 |      48.0 |     222.4 | +4.75613e+09 | +5.59121e+09

Solution completed. Time to solve: 256.5 s
