 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13984 |    66840 |       8.6 |       8.6 | +3.39908e+09 | +4.61683e+09
      1 |   13982 |    57983 |      14.2 |      22.8 | +4.44216e+09 | +5.09879e+09
      2 |   18597 |    72318 |      15.9 |      38.6 | +4.79323e+09 | +5.19499e+09
      3 |   24391 |    95305 |      17.1 |      55.8 | +4.92290e+09 | +5.36481e+09
      4 |   31548 |   126042 |      21.1 |      76.9 | +5.00079e+09 | +5.45540e+09
      5 |   40293 |   164518 |      26.9 |     103.7 | +5.04732e+09 | +5.52845e+09
      6 |   49774 |   208134 |      32.6 |     136.3 | +5.08188e+09 | +5.55037e+09
      7 |   59837 |   255851 |      40.8 |     177.2 | +5.11419e+09 | +5.57270e+09
      8 |   71834 |   313712 |      50.3 |     227.5 | +5.13917e+09 | +5.59659e+09

Solution completed. Time to solve: 263.4 s
