 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14149 |    67724 |      20.2 |      20.2 |            - |            -
      1 |   14131 |    58539 |      14.3 |      34.5 |            - |            -
      2 |   18549 |    72299 |      16.1 |      50.7 |            - |            -
      3 |   24161 |    94515 |      19.0 |      69.6 |            - |            -
      4 |   31223 |   125057 |      23.3 |      92.9 |            - |            -
      5 |   39910 |   163195 |      26.8 |     119.8 | +1.62904e+09 | +9.29917e+08
      6 |   49382 |   206346 |      34.7 |     154.5 | +6.07584e+08 | +4.88347e+08
      7 |   59541 |   253935 |      43.6 |     198.1 | +2.94206e+08 | +3.65773e+08
      8 |   70841 |   309295 |      50.0 |     248.1 | +2.06657e+08 | +2.41651e+08

Solution completed. Time to solve: 285.1 s
