 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14149 |    67724 |      20.2 |      20.2 |            - |            -
      1 |   14131 |    58539 |      14.3 |      34.5 |            - |            -
      2 |   18549 |    72299 |      16.1 |      50.7 |            - |            -
      3 |   24161 |    94515 |      19.0 |      69.6 |            - |            -
      4 |   31223 |   125057 |      23.3 |      92.9 |            - |            -
      5 |   39910 |   163195 |      26.8 |     119.8 | +3.39380e-01 | +1.68168e-01
      6 |   49382 |   206346 |      34.7 |     154.5 | +1.25794e-01 | +8.80193e-02
      7 |   59541 |   253935 |      43.6 |     198.1 | +6.05497e-02 | +6.57375e-02
      8 |   70841 |   309295 |      50.0 |     248.1 | +4.23202e-02 | +4.32167e-02

Solution completed. Time to solve: 285.1 s
