 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14149 |    67724 |      20.2 |      20.2 | +3.17100e+09 | +4.59978e+09
      1 |   14131 |    58539 |      14.3 |      34.5 | +4.22241e+09 | +5.05984e+09
      2 |   18549 |    72299 |      16.1 |      50.7 | +4.56470e+09 | +5.19837e+09
      3 |   24161 |    94515 |      19.0 |      69.6 | +4.67653e+09 | +5.34995e+09
      4 |   31223 |   125057 |      23.3 |      92.9 | +4.74528e+09 | +5.47590e+09
      5 |   39910 |   163195 |      26.8 |     119.8 | +4.80004e+09 | +5.52970e+09
      6 |   49382 |   206346 |      34.7 |     154.5 | +4.82999e+09 | +5.54819e+09
      7 |   59541 |   253935 |      43.6 |     198.1 | +4.85891e+09 | +5.56415e+09
      8 |   70841 |   309295 |      50.0 |     248.1 | +4.88318e+09 | +5.59160e+09

Solution completed. Time to solve: 285.1 s
