 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |    2715 |    11591 |      37.9 |      37.9 |            - |            -
      1 |    2842 |    11554 |       3.4 |      41.3 |            - |            -
      2 |    3758 |    15561 |       3.9 |      45.2 |            - |            -
      3 |    4590 |    19295 |       3.8 |      49.0 |            - |            -
      4 |    5549 |    23743 |       5.0 |      54.0 |            - |            -
      5 |    6656 |    29238 |       5.4 |      59.4 | +2.02820e+09 | +2.44115e+10
      6 |   10596 |    50075 |       8.0 |      67.4 | +8.61394e+08 | +1.76353e+10
      7 |   15725 |    77660 |      12.4 |      79.9 | +4.14826e+08 | +9.00041e+09
      8 |   26372 |   134261 |      33.9 |     113.8 | +3.23860e+08 | +6.06138e+09
      9 |   41889 |   219720 |      90.2 |     204.0 | +2.98588e+08 | +6.07408e+09
     10 |   59813 |   318206 |     128.2 |     332.1 | +2.81929e+08 | +6.30278e+09
     11 |   86023 |   463559 |     249.8 |     582.0 | +1.83542e+08 | +6.30278e+09
     12 |  156942 |   871264 |     429.5 |    1011.4 | +1.64011e+08 | +6.72979e+09
