 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |    2715 |    11591 |      37.9 |      37.9 |            - |            -
      1 |    2842 |    11554 |       3.4 |      41.3 |            - |            -
      2 |    3758 |    15561 |       3.9 |      45.2 |            - |            -
      3 |    4590 |    19295 |       3.8 |      49.0 |            - |            -
      4 |    5549 |    23743 |       5.0 |      54.0 |            - |            -
      5 |    6656 |    29238 |       5.4 |      59.4 | +4.34383e-01 | +9.01785e-01
      6 |   10596 |    50075 |       8.0 |      67.4 | +1.79695e-01 | +7.66317e-01
      7 |   15725 |    77660 |      12.4 |      79.9 | +8.54973e-02 | +3.49325e-01
      8 |   26372 |   134261 |      33.9 |     113.8 | +6.64621e-02 | +2.18835e-01
      9 |   41889 |   219720 |      90.2 |     204.0 | +6.07102e-02 | +2.08824e-01
     10 |   59813 |   318206 |     128.2 |     332.1 | +5.69428e-02 | +2.14996e-01
     11 |   86023 |   463559 |     249.8 |     582.0 | +3.68765e-02 | +2.27069e-01
     12 |  156942 |   871264 |     429.5 |    1011.4 | +3.26980e-02 | +2.97963e-01
