 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |    2715 |    11591 |      37.9 |      37.9 | +2.64095e+09 | +3.87896e+10
      1 |    2842 |    11554 |       3.4 |      41.3 | +3.93225e+09 | +1.43782e+10
      2 |    3758 |    15561 |       3.9 |      45.2 | +4.43709e+09 | +3.20134e+10
      3 |    4590 |    19295 |       3.8 |      49.0 | +4.54899e+09 | +2.90744e+10
      4 |    5549 |    23743 |       5.0 |      54.0 | +4.61966e+09 | +2.85533e+10
      5 |    6656 |    29238 |       5.4 |      59.4 | +4.66915e+09 | +2.70702e+10
      6 |   10596 |    50075 |       8.0 |      67.4 | +4.79365e+09 | +2.30130e+10
      7 |   15725 |    77660 |      12.4 |      79.9 | +4.85192e+09 | +2.57652e+10
      8 |   26372 |   134261 |      33.9 |     113.8 | +4.87284e+09 | +2.76984e+10
      9 |   41889 |   219720 |      90.2 |     204.0 | +4.91825e+09 | +2.90871e+10
     10 |   59813 |   318206 |     128.2 |     332.1 | +4.95108e+09 | +2.93158e+10
     11 |   86023 |   463559 |     249.8 |     582.0 | +4.97719e+09 | +2.77571e+10
     12 |  156942 |   871264 |     429.5 |    1011.4 | +5.01593e+09 | +2.25860e+10
