 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14004 |    67056 |     353.9 |     353.9 | +3.27221e+09 | +4.60658e+09
      1 |   14019 |    58048 |      15.7 |     369.5 | +4.43308e+09 | +5.03923e+09
      2 |   18461 |    72001 |      15.3 |     384.8 | +4.77154e+09 | +5.13665e+09
      3 |   24091 |    94330 |      18.5 |     403.3 | +4.89360e+09 | +5.38282e+09
      4 |   31027 |   124155 |      21.8 |     425.1 | +4.96105e+09 | +5.44957e+09
      5 |   39697 |   162341 |      28.1 |     453.2 | +5.01276e+09 | +5.50670e+09
      6 |   49208 |   205812 |      35.2 |     488.4 | +5.05400e+09 | +5.54489e+09
      7 |   59434 |   253806 |      39.7 |     528.1 | +5.08196e+09 | +5.55952e+09
      8 |   71254 |   311340 |      48.4 |     576.5 | +5.10931e+09 | +5.59692e+09

Solution completed. Time to solve: 610.6 s
