 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13894 |    66424 |     481.3 |     481.3 |            - |            -
      1 |   12974 |    53896 |      13.9 |     495.2 |            - |            -
      2 |   20065 |    79563 |      13.9 |     509.2 |            - |            -
      3 |   25769 |   101947 |      18.2 |     527.4 |            - |            -
      4 |   33156 |   133283 |      22.9 |     550.3 |            - |            -
      5 |   42110 |   172847 |      27.7 |     578.1 | +1.73647e+09 | +1.61460e+09
      6 |   51987 |   218051 |      34.6 |     612.7 | +7.21707e+08 | +7.54811e+08
      7 |   62319 |   267334 |      42.1 |     654.7 | +2.57992e+08 | +4.74430e+08
      8 |   74614 |   326942 |      50.4 |     705.1 | +1.85506e+08 | +2.92574e+08
      9 |   89851 |   401587 |      60.9 |     766.0 | +1.51968e+08 | +2.06057e+08

Solution completed. Time to solve: 810.9 s
