 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13894 |    66424 |     481.3 |     481.3 |            - |            -
      1 |   12974 |    53896 |      13.9 |     495.2 |            - |            -
      2 |   20065 |    79563 |      13.9 |     509.2 |            - |            -
      3 |   25769 |   101947 |      18.2 |     527.4 |            - |            -
      4 |   33156 |   133283 |      22.9 |     550.3 |            - |            -
      5 |   42110 |   172847 |      27.7 |     578.1 | +3.69829e-01 | +2.92144e-01
      6 |   51987 |   218051 |      34.6 |     612.7 | +1.52629e-01 | +1.35799e-01
      7 |   62319 |   267334 |      42.1 |     654.7 | +5.42410e-02 | +8.51142e-02
      8 |   74614 |   326942 |      50.4 |     705.1 | +3.88106e-02 | +5.22523e-02
      9 |   89851 |   401587 |      60.9 |     766.0 | +3.16582e-02 | +3.65408e-02

Solution completed. Time to solve: 810.9 s
