 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13894 |    66424 |     481.3 |     481.3 | +2.95886e+09 | +6.41807e+09
      1 |   12974 |    53896 |      13.9 |     495.2 | +4.00681e+09 | +4.80348e+09
      2 |   20065 |    79563 |      13.9 |     509.2 | +4.49841e+09 | +5.09961e+09
      3 |   25769 |   101947 |      18.2 |     527.4 | +4.59426e+09 | +5.30669e+09
      4 |   33156 |   133283 |      22.9 |     550.3 | +4.64830e+09 | +5.43304e+09
      5 |   42110 |   172847 |      27.7 |     578.1 | +4.69533e+09 | +5.52671e+09
      6 |   51987 |   218051 |      34.6 |     612.7 | +4.72851e+09 | +5.55829e+09
      7 |   62319 |   267334 |      42.1 |     654.7 | +4.75641e+09 | +5.57404e+09
      8 |   74614 |   326942 |      50.4 |     705.1 | +4.77976e+09 | +5.59927e+09
      9 |   89851 |   401587 |      60.9 |     766.0 | +4.80026e+09 | +5.63910e+09

Solution completed. Time to solve: 810.9 s
